Comunidades y Ciudades Autónomas;Periodo;Total
15 Navarra, Comunidad Foral de;1993;8,57
15 Navarra, Comunidad Foral de;1992;8,12
15 Navarra, Comunidad Foral de;1991;8,68
15 Navarra, Comunidad Foral de;1990;8,41
15 Navarra, Comunidad Foral de;1989;8,13
15 Navarra, Comunidad Foral de;1988;7,86
15 Navarra, Comunidad Foral de;1987;7,86
15 Navarra, Comunidad Foral de;1986;8,02
15 Navarra, Comunidad Foral de;1985;8,22
15 Navarra, Comunidad Foral de;1984;7,85
15 Navarra, Comunidad Foral de;1983;8,1
15 Navarra, Comunidad Foral de;1982;8,02
15 Navarra, Comunidad Foral de;1981;8,08
15 Navarra, Comunidad Foral de;1980;8,16
15 Navarra, Comunidad Foral de;1979;8,12
15 Navarra, Comunidad Foral de;1978;8,31
15 Navarra, Comunidad Foral de;1977;8,42
15 Navarra, Comunidad Foral de;1976;8,66
15 Navarra, Comunidad Foral de;1975;8,96
16 País Vasco;2021;10,6
16 País Vasco;2020;11,08
16 País Vasco;2019;9,88
16 País Vasco;2018;10,02
16 País Vasco;2017;9,98
16 País Vasco;2016;9,8
16 País Vasco;2015;9,95
16 País Vasco;2014;9,31
16 País Vasco;2013;9,08
16 País Vasco;2012;9,3
16 País Vasco;2011;9,08
16 País Vasco;2010;8,88
16 País Vasco;2009;9,01
16 País Vasco;2008;8,97
16 País Vasco;2007;8,95
16 País Vasco;2006;8,67
16 País Vasco;2005;9,15
16 País Vasco;2004;8,86
16 País Vasco;2003;9,21
16 País Vasco;2002;8,92
16 País Vasco;2001;8,69
16 País Vasco;2000;8,76
16 País Vasco;1999;8,82
16 País Vasco;1998;8,69
16 País Vasco;1997;8,39
16 País Vasco;1996;8,61
16 País Vasco;1995;8,35
16 País Vasco;1994;7,99
16 País Vasco;1993;7,98
16 País Vasco;1992;7,87
16 País Vasco;1991;7,95
16 País Vasco;1990;7,75
16 País Vasco;1989;7,34
16 País Vasco;1988;7,34
16 País Vasco;1987;7,09
16 País Vasco;1986;7,23
16 País Vasco;1985;7,21
16 País Vasco;1984;6,9
16 País Vasco;1983;6,91
16 País Vasco;1982;6,59
16 País Vasco;1981;6,82
16 País Vasco;1980;6,69
16 País Vasco;1979;6,71
16 País Vasco;1978;6,81
16 País Vasco;1977;7,04
16 País Vasco;1976;7,18
16 País Vasco;1975;7,33
17 Rioja, La;2021;10,8
17 Rioja, La;2020;11,7
17 Rioja, La;2019;10,01
17 Rioja, La;2018;10,25
17 Rioja, La;2017;9,77
17 Rioja, La;2016;9,49
17 Rioja, La;2015;9,89
17 Rioja, La;2014;9,19
17 Rioja, La;2013;9,06
17 Rioja, La;2012;9,44
17 Rioja, La;2011;8,99
17 Rioja, La;2010;8,92
17 Rioja, La;2009;8,58
17 Rioja, La;2008;8,98
17 Rioja, La;2007;9,11
17 Rioja, La;2006;8,7
17 Rioja, La;2005;9,52
17 Rioja, La;2004;9,06
17 Rioja, La;2003;9,48
17 Rioja, La;2002;9,36
17 Rioja, La;2001;9,15
17 Rioja, La;2000;9,27
